Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1696382639,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1696382640,1,,Aggregated,0.000000,0.000000,360,360,430,430,430,430,430,430,430,430,430,3,0,360.0,314.2322359975272,156.9213330221828,428.9681669906713,14532.333333333334
1696382641,1,,Aggregated,0.000000,0.000000,360,430,430,1000,1000,1000,1000,1000,1000,1000,1000,5,0,360.0,398.16233319579624,8.565291005652398,1039.5496669807471,31872.2
1696382642,1,,Aggregated,0.000000,0.000000,300,360,430,430,1000,1000,1000,1000,1000,1000,1000,8,0,160.0,292.2328592467238,8.565291005652398,1039.5496669807471,27288.375
1696382643,1,,Aggregated,0.000000,0.000000,300,360,430,430,1000,1000,1000,1000,1000,1000,1000,8,0,160.0,292.2328592467238,8.565291005652398,1039.5496669807471,27288.375
1696382644,1,,Aggregated,0.000000,0.000000,300,360,430,430,1000,1000,1000,1000,1000,1000,1000,8,0,160.0,292.2328592467238,8.565291005652398,1039.5496669807471,27288.375
1696382645,1,,Aggregated,0.000000,0.000000,300,360,430,430,1000,1000,1000,1000,1000,1000,1000,8,0,160.0,292.2328592467238,8.565291005652398,1039.5496669807471,27288.375
1696382646,1,,Aggregated,0.000000,0.000000,300,360,430,430,1000,1000,1000,1000,1000,1000,1000,8,0,160.0,292.2328592467238,8.565291005652398,1039.5496669807471,27288.375
1696382647,1,,Aggregated,0.000000,0.000000,300,360,430,430,1000,1000,1000,1000,1000,1000,1000,8,0,160.0,292.2328592467238,8.565291005652398,1039.5496669807471,27288.375
1696382648,1,,Aggregated,0.000000,0.000000,300,360,430,430,1000,1000,1000,1000,1000,1000,1000,8,0,160.0,292.2328592467238,8.565291005652398,1039.5496669807471,27288.375
1696382649,1,,Aggregated,0.000000,0.000000,300,360,430,430,1000,1000,1000,1000,1000,1000,1000,8,0,160.0,292.2328592467238,8.565291005652398,1039.5496669807471,27288.375
1696382650,1,,Aggregated,0.000000,0.000000,300,360,430,430,1000,1000,1000,1000,1000,1000,1000,8,0,160.0,292.2328592467238,8.565291005652398,1039.5496669807471,27288.375
1696382651,1,,Aggregated,0.000000,0.000000,300,360,430,430,1000,1000,1000,1000,1000,1000,1000,8,0,160.0,292.2328592467238,8.565291005652398,1039.5496669807471,27288.375
1696382652,1,,Aggregated,0.000000,0.000000,300,360,430,430,1000,1000,1000,1000,1000,1000,1000,8,0,160.0,292.2328592467238,8.565291005652398,1039.5496669807471,27288.375
1696382653,1,,Aggregated,0.000000,0.000000,300,360,430,430,1000,1000,1000,1000,1000,1000,1000,8,0,160.0,292.2328592467238,8.565291005652398,1039.5496669807471,27288.375
1696382654,1,,Aggregated,0.000000,0.000000,300,360,430,430,1000,1000,1000,1000,1000,1000,1000,8,0,160.0,292.2328592467238,8.565291005652398,1039.5496669807471,27288.375
1696382655,1,,Aggregated,0.000000,0.000000,300,360,430,430,1000,1000,1000,1000,1000,1000,1000,8,0,160.0,292.2328592467238,8.565291005652398,1039.5496669807471,27288.375
1696382656,1,,Aggregated,0.000000,0.000000,300,360,430,430,1000,1000,1000,1000,1000,1000,1000,8,0,160.0,292.2328592467238,8.565291005652398,1039.5496669807471,27288.375
1696382657,1,,Aggregated,0.000000,0.000000,300,360,430,430,1000,1000,1000,1000,1000,1000,1000,8,0,160.0,292.2328592467238,8.565291005652398,1039.5496669807471,27288.375
1696382658,1,,Aggregated,0.000000,0.000000,160,360,370,370,430,1000,1000,1000,1000,1000,1000,11,0,160.0,250.28106427370486,8.565291005652398,1039.5496669807471,25204.81818181818
1696382659,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382660,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382661,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
1696382662,1,,Aggregated,0.000000,0.000000,28,300,360,370,430,1000,1000,1000,1000,1000,1000,13,1,28,214.42835561510248,8.565291005652398,1039.5496669807471,21332.30769230769
